id_journey;id_leg;legMode;date;startTime;endTime;x_origin;y_origin;x_dest;y_dest;legStartTime;legEndTime;legDepartureDelay;legArrivalDelay;legDistance;legInterlineWithPreviousLeg;legDuration;legStopIdOrigin;legOrigName;x_legOrigin;y_legOrigin;legStopIdDest;legDestName;x_legDest;y_legDest;transitLeg;route;agencyName;tripshortName;headsign
1;1;CAR;20181029T180000;20181029T180000;20181029T184419;2.38575;48.99779;2.19375;48.71342;20181029T180000;20181029T184419;0;0;46232;0;2659;;Avenue de la Pépinière (Sarcelles);2.38575;48.99779;;Chemin de Corbeville à la Vauve (Palaiseau) (Orsay);2.38575;48.99779;False;;;;
2;1;CAR;20181029T180000;20181029T181419;20181029T193715;2.38575;48.99779;2.19375;48.71342;20181029T181419;20181029T183200;0;0;12704;0;1061;;Avenue de la Pépinière (Sarcelles);2.38575;48.99779;;;2.38575;48.99779;False;;;;
2;2;RAIL;20181029T180000;20181029T181419;20181029T193715;2.38575;48.99779;2.19375;48.71342;20181029T183200;20181029T191800;0;0;29444;0;2760;stop_point:8716479:810:B;GARE DE LA PLAINE STADE DE FRANCE (Saint-Denis);2.362666;48.918114;stop_point:8775883:810:B;GARE DU GUICHET (Orsay);2.362666;48.918114;True;B;RER;GARE D'ORSAY VILLE;GARE D'ORSAY VILLE (Orsay)
2;3;WALK;20181029T180000;20181029T181419;20181029T193715;2.38575;48.99779;2.19375;48.71342;20181029T191800;20181029T193715;0;0;1293;0;1155;;;2.19266;48.70538;;Chemin de Corbeville à la Vauve (Palaiseau) (Orsay);2.19266;48.70538;False;;;;
3;1;CAR;20181029T180000;20181029T181255;20181029T193715;2.38575;48.99779;2.19375;48.71342;20181029T181255;20181029T182200;0;0;6105;0;545;;Avenue de la Pépinière (Sarcelles);2.38575;48.99779;;;2.38575;48.99779;False;;;;
3;2;RAIL;20181029T180000;20181029T181255;20181029T193715;2.38575;48.99779;2.19375;48.71342;20181029T182200;20181029T183500;0;0;9823;0;780;stop_point:8727116:800:D;GARE DE PIERREFITTE STAINS (Pierrefitte-sur-Seine);2.372103;48.963755;stop_point:8727102:800:D;GARE DU NORD RER (Paris);2.372103;48.963755;True;D;RER;GARE DE CORBEIL ESSONNES;GARE DE CORBEIL ESSONNES (Corbeil-Essonnes)
3;3;WALK;20181029T180000;20181029T181255;20181029T193715;2.38575;48.99779;2.19375;48.71342;20181029T183500;20181029T183748;0;0;0;0;168;stop_point:8727102:800:D;GARE DU NORD RER (Paris);2.357115;48.880769;stop_point:8727102:810:B;GARE DU NORD RER (Paris);2.357115;48.880769;False;;;;
3;4;WALK;20181029T180000;20181029T181255;20181029T193715;2.38575;48.99779;2.19375;48.71342;20181029T183748;20181029T183800;0;0;0;0;12;;;;;;;;;;;;;
3;5;RAIL;20181029T180000;20181029T181255;20181029T193715;2.38575;48.99779;2.19375;48.71342;20181029T183800;20181029T191800;0;0;25271;0;2400;stop_point:8727102:810:B;GARE DU NORD RER (Paris);2.357115;48.880769;stop_point:8775883:810:B;GARE DU GUICHET (Orsay);2.357115;48.880769;True;B;RER;GARE D'ORSAY VILLE;GARE D'ORSAY VILLE (Orsay)
3;6;WALK;20181029T180000;20181029T181255;20181029T193715;2.38575;48.99779;2.19375;48.71342;20181029T191800;20181029T193715;0;0;1293;0;1155;;;2.19266;48.70538;;Chemin de Corbeville à la Vauve (Palaiseau) (Orsay);2.19266;48.70538;False;;;;
4;1;CAR;20181029T180000;20181029T181419;20181029T193930;2.38575;48.99779;2.19375;48.71342;20181029T181419;20181029T183200;0;0;12704;0;1061;;Avenue de la Pépinière (Sarcelles);2.38575;48.99779;;;2.38575;48.99779;False;;;;
4;2;RAIL;20181029T180000;20181029T181419;20181029T193930;2.38575;48.99779;2.19375;48.71342;20181029T183200;20181029T190900;0;0;23726;0;2220;stop_point:8716479:810:B;GARE DE LA PLAINE STADE DE FRANCE (Saint-Denis);2.362666;48.918114;stop_point:8775879:810:B;GARE DE MASSY PALAISEAU RER B (Massy);2.362666;48.918114;True;B;RER;GARE D'ORSAY VILLE;GARE D'ORSAY VILLE (Orsay)
4;3;WALK;20181029T180000;20181029T181419;20181029T193930;2.38575;48.99779;2.19375;48.71342;20181029T190900;20181029T191201;0;0;0;0;181;stop_point:8775879:810:B;GARE DE MASSY PALAISEAU RER B (Massy);2.258966;48.724309;stop_point:56:10103;GARE MASSY PALAISEAU (Massy);2.258966;48.724309;False;;;;
4;4;WALK;20181029T180000;20181029T181419;20181029T193930;2.38575;48.99779;2.19375;48.71342;20181029T191201;20181029T192000;0;0;0;0;479;;;;;;;;;;;;;
4;5;BUS;20181029T180000;20181029T181419;20181029T193930;2.38575;48.99779;2.19375;48.71342;20181029T192000;20181029T193500;0;0;5883;0;900;stop_point:56:10103;GARE MASSY PALAISEAU (Massy);2.258015;48.723332;stop_point:56:11901;Corbeville (Orsay);2.258015;48.723332;True;EXPRESS 91-06;Albatrans;Christ de Saclay;Christ de Saclay (Saclay)
4;6;WALK;20181029T180000;20181029T181419;20181029T193930;2.38575;48.99779;2.19375;48.71342;20181029T193500;20181029T193930;0;0;236.87870662936746;0;270;stop_point:56:11901;Corbeville (Orsay);2.190836;48.713597;;Chemin de Corbeville à la Vauve (Palaiseau) (Orsay);2.190836;48.713597;False;;;;
5;1;CAR;20181029T180000;20181029T181255;20181029T193930;2.38575;48.99779;2.19375;48.71342;20181029T181255;20181029T182200;0;0;6105;0;545;;Avenue de la Pépinière (Sarcelles);2.38575;48.99779;;;2.38575;48.99779;False;;;;
5;2;RAIL;20181029T180000;20181029T181255;20181029T193930;2.38575;48.99779;2.19375;48.71342;20181029T182200;20181029T183900;0;0;12056;0;1020;stop_point:8727116:800:D;GARE DE PIERREFITTE STAINS (Pierrefitte-sur-Seine);2.372103;48.963755;stop_point:8775860:800:D;CHATELET LES HALLES (Paris);2.372103;48.963755;True;D;RER;GARE DE CORBEIL ESSONNES;GARE DE CORBEIL ESSONNES (Corbeil-Essonnes)
5;3;WALK;20181029T180000;20181029T181255;20181029T193930;2.38575;48.99779;2.19375;48.71342;20181029T183900;20181029T184148;0;0;0;0;168;stop_point:8775860:800:D;CHATELET LES HALLES (Paris);2.347013;48.861822;stop_point:8775860:810:B;CHATELET LES HALLES (Paris);2.347013;48.861822;False;;;;
5;4;WALK;20181029T180000;20181029T181255;20181029T193930;2.38575;48.99779;2.19375;48.71342;20181029T184148;20181029T184400;0;0;0;0;132;;;;;;;;;;;;;
5;5;RAIL;20181029T180000;20181029T181255;20181029T193930;2.38575;48.99779;2.19375;48.71342;20181029T184400;20181029T191600;0;0;17695;0;1920;stop_point:8775860:810:B;CHATELET LES HALLES (Paris);2.347013;48.861822;stop_point:8775879:810:B;GARE DE MASSY PALAISEAU RER B (Massy);2.347013;48.861822;True;B;RER;GARE DE MASSY PALAISEAU RER B;GARE DE MASSY PALAISEAU RER B (Massy)
5;6;WALK;20181029T180000;20181029T181255;20181029T193930;2.38575;48.99779;2.19375;48.71342;20181029T191600;20181029T191901;0;0;0;0;181;stop_point:8775879:810:B;GARE DE MASSY PALAISEAU RER B (Massy);2.258966;48.724309;stop_point:56:10103;GARE MASSY PALAISEAU (Massy);2.258966;48.724309;False;;;;
5;7;WALK;20181029T180000;20181029T181255;20181029T193930;2.38575;48.99779;2.19375;48.71342;20181029T191901;20181029T192000;0;0;0;0;59;;;;;;;;;;;;;
5;8;BUS;20181029T180000;20181029T181255;20181029T193930;2.38575;48.99779;2.19375;48.71342;20181029T192000;20181029T193500;0;0;5883;0;900;stop_point:56:10103;GARE MASSY PALAISEAU (Massy);2.258015;48.723332;stop_point:56:11901;Corbeville (Orsay);2.258015;48.723332;True;EXPRESS 91-06;Albatrans;Christ de Saclay;Christ de Saclay (Saclay)
5;9;WALK;20181029T180000;20181029T181255;20181029T193930;2.38575;48.99779;2.19375;48.71342;20181029T193500;20181029T193930;0;0;236.87870662936746;0;270;stop_point:56:11901;Corbeville (Orsay);2.190836;48.713597;;Chemin de Corbeville à la Vauve (Palaiseau) (Orsay);2.190836;48.713597;False;;;;
1;1;CAR;20181029T180000;20181029T180000;20181029T184425;2.13478;48.82314;2.68684;48.86155;20181029T180000;20181029T184425;0;0;50566;0;2665;;22 Rue Molière (Le Chesnay-Rocquencourt);2.13478;48.82314;;Rue des Closeaux (Saint-Thibault-des-Vignes) (Gouvernes);2.13478;48.82314;False;;;;
2;1;CAR;20181029T180000;20181029T182606;20181029T195008;2.13478;48.82314;2.68684;48.86155;20181029T182606;20181029T184600;0;0;14630;0;1194;;22 Rue Molière (Le Chesnay-Rocquencourt);2.13478;48.82314;;;2.13478;48.82314;False;;;;
2;2;RAIL;20181029T180000;20181029T182606;20181029T195008;2.13478;48.82314;2.68684;48.86155;20181029T184600;20181029T192600;0;0;32867;0;2400;stop_point:8775801:810:A;GARE DE LA DEFENSE RER A (Puteaux);2.237018;48.892187;stop_point:8775837:810:A;GARE DE TORCY (Torcy);2.237018;48.892187;True;A;RER;GARE DE MARNE LA VALLEE CHESSY;GARE DE MARNE LA VALLEE CHESSY (Chessy)
2;3;WALK;20181029T180000;20181029T182606;20181029T195008;2.13478;48.82314;2.68684;48.86155;20181029T192600;20181029T193035;0;0;0;0;275;stop_point:8775837:810:A;GARE DE TORCY (Torcy);2.65513;48.839646;stop_point:9:1737;GARE DE TORCY (Torcy);2.65513;48.839646;False;;;;
2;4;WALK;20181029T180000;20181029T182606;20181029T195008;2.13478;48.82314;2.68684;48.86155;20181029T193035;20181029T193400;0;0;0;0;205;;;;;;;;;;;;;
2;5;BUS;20181029T180000;20181029T182606;20181029T195008;2.13478;48.82314;2.68684;48.86155;20181029T193400;20181029T194500;0;0;4295;0;660;stop_point:9:1737;GARE DE TORCY (Torcy);2.654381;48.83897;stop_point:9:946;PASTEUR (Gouvernes);2.654381;48.83897;True;21;Pep's;GARE DE LAGNY THORIGNY;GARE DE LAGNY THORIGNY (Thorigny-sur-Marne)
2;6;WALK;20181029T180000;20181029T182606;20181029T195008;2.13478;48.82314;2.68684;48.86155;20181029T194500;20181029T195008;0;0;344;0;308;;;2.69194;48.86046;;Rue des Closeaux (Saint-Thibault-des-Vignes) (Gouvernes);2.69194;48.86046;False;;;;
3;1;CAR;20181029T180000;20181029T181034;20181029T195008;2.13478;48.82314;2.68684;48.86155;20181029T181034;20181029T181900;0;0;3563;0;506;;22 Rue Molière (Le Chesnay-Rocquencourt);2.13478;48.82314;;;2.13478;48.82314;False;;;;
3;2;RAIL;20181029T180000;20181029T181034;20181029T195008;2.13478;48.82314;2.68684;48.86155;20181029T181900;20181029T183500;0;0;10331;0;960;stop_point:8738226:800:L;GARE DE VAUCRESSON (Vaucresson);2.152697;48.836643;stop_point:8738221:800:L;GARE DE LA DEFENSE (Puteaux);2.152697;48.836643;True;L;TRAIN;GARE ST LAZARE;GARE ST LAZARE (Paris)
3;3;WALK;20181029T180000;20181029T181034;20181029T195008;2.13478;48.82314;2.68684;48.86155;20181029T183500;20181029T183933;0;0;0;0;273;stop_point:8738221:800:L;GARE DE LA DEFENSE (Puteaux);2.237018;48.892187;stop_point:8775801:810:A;GARE DE LA DEFENSE RER A (Puteaux);2.237018;48.892187;False;;;;
3;4;WALK;20181029T180000;20181029T181034;20181029T195008;2.13478;48.82314;2.68684;48.86155;20181029T183933;20181029T184600;0;0;0;0;387;;;;;;;;;;;;;
3;5;RAIL;20181029T180000;20181029T181034;20181029T195008;2.13478;48.82314;2.68684;48.86155;20181029T184600;20181029T192600;0;0;32867;0;2400;stop_point:8775801:810:A;GARE DE LA DEFENSE RER A (Puteaux);2.237018;48.892187;stop_point:8775837:810:A;GARE DE TORCY (Torcy);2.237018;48.892187;True;A;RER;GARE DE MARNE LA VALLEE CHESSY;GARE DE MARNE LA VALLEE CHESSY (Chessy)
3;6;WALK;20181029T180000;20181029T181034;20181029T195008;2.13478;48.82314;2.68684;48.86155;20181029T192600;20181029T193035;0;0;0;0;275;stop_point:8775837:810:A;GARE DE TORCY (Torcy);2.65513;48.839646;stop_point:9:1737;GARE DE TORCY (Torcy);2.65513;48.839646;False;;;;
3;7;WALK;20181029T180000;20181029T181034;20181029T195008;2.13478;48.82314;2.68684;48.86155;20181029T193035;20181029T193400;0;0;0;0;205;;;;;;;;;;;;;
3;8;BUS;20181029T180000;20181029T181034;20181029T195008;2.13478;48.82314;2.68684;48.86155;20181029T193400;20181029T194500;0;0;4295;0;660;stop_point:9:1737;GARE DE TORCY (Torcy);2.654381;48.83897;stop_point:9:946;PASTEUR (Gouvernes);2.654381;48.83897;True;21;Pep's;GARE DE LAGNY THORIGNY;GARE DE LAGNY THORIGNY (Thorigny-sur-Marne)
3;9;WALK;20181029T180000;20181029T181034;20181029T195008;2.13478;48.82314;2.68684;48.86155;20181029T194500;20181029T195008;0;0;344;0;308;;;2.69194;48.86046;;Rue des Closeaux (Saint-Thibault-des-Vignes) (Gouvernes);2.69194;48.86046;False;;;;
4;1;CAR;20181029T180000;20181029T180727;20181029T195008;2.13478;48.82314;2.68684;48.86155;20181029T180727;20181029T181500;0;0;2598;0;453;;22 Rue Molière (Le Chesnay-Rocquencourt);2.13478;48.82314;;;2.13478;48.82314;False;;;;
4;2;RAIL;20181029T180000;20181029T180727;20181029T195008;2.13478;48.82314;2.68684;48.86155;20181029T181500;20181029T183900;0;0;13872;0;1440;stop_point:8738286:800:L;GARE DE VERSAILLES RIVE DROITE (Versailles);2.135087;48.809482;stop_point:8738221:800:L;GARE DE LA DEFENSE (Puteaux);2.135087;48.809482;True;L;TRAIN;GARE ST LAZARE;GARE ST LAZARE (Paris)
4;3;WALK;20181029T180000;20181029T180727;20181029T195008;2.13478;48.82314;2.68684;48.86155;20181029T183900;20181029T184333;0;0;0;0;273;stop_point:8738221:800:L;GARE DE LA DEFENSE (Puteaux);2.237018;48.892187;stop_point:8775801:810:A;GARE DE LA DEFENSE RER A (Puteaux);2.237018;48.892187;False;;;;
4;4;WALK;20181029T180000;20181029T180727;20181029T195008;2.13478;48.82314;2.68684;48.86155;20181029T184333;20181029T184600;0;0;0;0;147;;;;;;;;;;;;;
4;5;RAIL;20181029T180000;20181029T180727;20181029T195008;2.13478;48.82314;2.68684;48.86155;20181029T184600;20181029T192600;0;0;32867;0;2400;stop_point:8775801:810:A;GARE DE LA DEFENSE RER A (Puteaux);2.237018;48.892187;stop_point:8775837:810:A;GARE DE TORCY (Torcy);2.237018;48.892187;True;A;RER;GARE DE MARNE LA VALLEE CHESSY;GARE DE MARNE LA VALLEE CHESSY (Chessy)
4;6;WALK;20181029T180000;20181029T180727;20181029T195008;2.13478;48.82314;2.68684;48.86155;20181029T192600;20181029T193035;0;0;0;0;275;stop_point:8775837:810:A;GARE DE TORCY (Torcy);2.65513;48.839646;stop_point:9:1737;GARE DE TORCY (Torcy);2.65513;48.839646;False;;;;
4;7;WALK;20181029T180000;20181029T180727;20181029T195008;2.13478;48.82314;2.68684;48.86155;20181029T193035;20181029T193400;0;0;0;0;205;;;;;;;;;;;;;
4;8;BUS;20181029T180000;20181029T180727;20181029T195008;2.13478;48.82314;2.68684;48.86155;20181029T193400;20181029T194500;0;0;4295;0;660;stop_point:9:1737;GARE DE TORCY (Torcy);2.654381;48.83897;stop_point:9:946;PASTEUR (Gouvernes);2.654381;48.83897;True;21;Pep's;GARE DE LAGNY THORIGNY;GARE DE LAGNY THORIGNY (Thorigny-sur-Marne)
4;9;WALK;20181029T180000;20181029T180727;20181029T195008;2.13478;48.82314;2.68684;48.86155;20181029T194500;20181029T195008;0;0;344;0;308;;;2.69194;48.86046;;Rue des Closeaux (Saint-Thibault-des-Vignes) (Gouvernes);2.69194;48.86046;False;;;;
1;1;CAR;20181029T180000;20181029T180000;20181029T183225;2.07710;48.88684;2.26971;48.77321;20181029T180000;20181029T183225;0;0;36657;0;1945;;35 Rue des Closeaux (Mareil-Marly);2.0771;48.88684;;Rue Eugène Sinet (Châtenay-Malabry);2.0771;48.88684;False;;;;
2;1;CAR;20181029T180000;20181029T180417;20181029T193503;2.07710;48.88684;2.26971;48.77321;20181029T180417;20181029T180900;0;0;2002;0;283;;35 Rue des Closeaux (Mareil-Marly);2.0771;48.88684;;;2.0771;48.88684;False;;;;
2;2;RAIL;20181029T180000;20181029T180417;20181029T193503;2.07710;48.88684;2.26971;48.77321;20181029T180900;20181029T183900;0;0;20552;0;1800;stop_point:8775809:810:A;GARE DE ST GERMAIN EN LAYE (Saint-Germain-en-Laye);2.094837;48.898076;stop_point:8775860:810:A;CHATELET LES HALLES (Paris);2.094837;48.898076;True;A;RER;GARE DE MARNE LA VALLEE CHESSY;GARE DE MARNE LA VALLEE CHESSY (Chessy)
2;3;WALK;20181029T180000;20181029T180417;20181029T193503;2.07710;48.88684;2.26971;48.77321;20181029T183900;20181029T184148;0;0;0;0;168;stop_point:8775860:810:A;CHATELET LES HALLES (Paris);2.347013;48.861822;stop_point:8775860:810:B;CHATELET LES HALLES (Paris);2.347013;48.861822;False;;;;
2;4;WALK;20181029T180000;20181029T180417;20181029T193503;2.07710;48.88684;2.26971;48.77321;20181029T184148;20181029T184700;0;0;0;0;312;;;;;;;;;;;;;
2;5;RAIL;20181029T180000;20181029T180417;20181029T193503;2.07710;48.88684;2.26971;48.77321;20181029T184700;20181029T191300;0;0;12942;0;1560;stop_point:8775860:810:B;CHATELET LES HALLES (Paris);2.347013;48.861822;stop_point:8775872:810:B;GARE DE ROBINSON (Sceaux);2.347013;48.861822;True;B;RER;GARE DE ROBINSON;GARE DE ROBINSON (Sceaux)
2;6;WALK;20181029T180000;20181029T180417;20181029T193503;2.07710;48.88684;2.26971;48.77321;20181029T191300;20181029T191836;0;0;0;0;336;stop_point:8775872:810:B;GARE DE ROBINSON (Sceaux);2.281431;48.780237;stop_point:59:5976643;ROBINSON RER (Châtenay-Malabry);2.281431;48.780237;False;;;;
2;7;WALK;20181029T180000;20181029T180417;20181029T193503;2.07710;48.88684;2.26971;48.77321;20181029T191836;20181029T192400;0;0;0;0;324;;;;;;;;;;;;;
2;8;BUS;20181029T180000;20181029T180417;20181029T193503;2.07710;48.88684;2.26971;48.77321;20181029T192400;20181029T192700;0;0;846;0;180;stop_point:59:5976643;ROBINSON RER (Châtenay-Malabry);2.280017;48.779387;stop_point:59:5121968;MARC SANGNIER (Châtenay-Malabry);2.280017;48.779387;True;194;RATP;LYCEE POLYVALENT;LYCEE POLYVALENT (Châtenay-Malabry)
2;9;WALK;20181029T180000;20181029T180417;20181029T193503;2.07710;48.88684;2.26971;48.77321;20181029T192700;20181029T193503;0;0;540;0;483;;;2.27539;48.77242;;Rue Eugène Sinet (Châtenay-Malabry);2.27539;48.77242;False;;;;
1;1;CAR;20181029T080000;20181029T080000;20181029T085428;2.72118;48.89429;2.07710;48.88684;20181029T080000;20181029T085428;0;0;69218;0;3268;;Rue du Lièvre (Thorigny-sur-Marne);2.72118;48.89429;;35 Rue des Closeaux (Mareil-Marly);2.72118;48.89429;False;;;;
